식품명,식품대분류명,에너지(kcal),단백질(g),지방(g),탄수화물(g),당류(g),식이섬유(g),나트륨(mg),포화지방산(g),채소_보너스,Nutri_Score,최종점수
미나리무침,생채·무침류,20.0,0.95,0.675,3.5549999999999997,1.96,1.5,140.5,0.10500000000000001,5,A,-6.0
미나리전,전·적 및 부침류,151.0,3.49,5.08,22.82,1.16,2.5,166.0,0.82,0,B,-4.0
미더덕찜,찜류,77.0,7.7,1.82,8.05,1.18,1.2,391.0,0.29,0,B,-2.0
미소된장국,국 및 탕류,20.6,1.578,0.8700000000000001,1.8619999999999997,0.382,0.8400000000000001,282.0,0.124,0,C,2.0
미숫가루,음료 및 차류,70.0,2.08,2.27,10.42,8.364798994974874,2.2,24.0,0.36,0,B,-3.0
미숫가루(선식)음료,음료 및 차류,128.0,2.9,1.1,27.73,12.67,2.6,1.0,0.22,0,B,-2.0
미역 된장국,국 및 탕류,13.5,1.2,0.495,1.625,0.28,1.0,295.5,0.09,0,C,1.0
미역 오이무침,생채·무침류,59.666666666666664,1.8333333333333333,1.2866666666666666,13.136666666666665,6.8,2.8333333333333335,843.3333333333334,0.21333333333333337,5,C,-1.0
미역국,국 및 탕류,11.0,1.45,0.46,0.88,0.01,0.7,279.0,0.06,0,C,2.0
미역냉국,국 및 탕류,11.0,0.5,0.11,2.7,1.85,0.7,290.0,0.02,0,C,2.0
미역줄기볶음,볶음류,51.0,1.03,4.13,3.65,0.58,3.0,648.0,0.63,1,C,2.0
미역초무침,생채·무침류,35.0,1.48,0.71,6.85,3.32,2.9,452.0,0.13,5,B,-4.0
미역튀각,튀김류,403.0,13.82,32.06,24.725,7.31,27.15,4605.0,5.07,0,D,8.0
미음,죽 및 스프류,19.0,0.3,0.1,4.6,0.12645964912280702,0.0,0.0,0.02,0,C,0.0
미트 스파게티,면 및 만두류,109.0,4.3,1.9233333333333331,18.583333333333332,2.82,1.3999999999999997,136.0,0.49,0,B,-3.0
미트볼조림,조림류,148.83333333333334,7.441666666666666,7.6816666666666675,13.141666666666666,6.316666666666667,6.02,373.6666666666667,2.306666666666666,0,A,-5.0
민들레무침,나물·숙채류,27.0,1.2,0.72,4.56,1.61,1.6,244.0,0.1,5,A,-5.0
민들레잎무침,생채·무침류,81.0,2.69,2.33,12.32,8.16,5.0,248.0,0.21,5,A,-10.0
